id;code;name;parent_id
1;1;Manufacturing;NULL
2;19;Construction materials;1
3;18;Electronics and Optics;1
4;6;Food and Beverage;1
5;342;Bakery & confectionery products;4
6;43;Beverages;4
7;42;Fish & fish products ;4
8;40;Meat & meat products;4
9;39;Milk & dairy products ;4
10;437;Other;4
11;378;Sweets & snack food;4
12;13;Furniture;1
13;389;Bathroom/sauna ;12
14;385;Bedroom;12
15;390;Childrenâ€™s room ;12
16;98;Kitchen ;12
17;101;Living room ;12
18;392;Office;12
19;394;Other (Furniture);12
20;341;Outdoor ;12
21;99;Project furniture;12
22;12;Machinery;1
23;94;Machinery components;22
24;91;Machinery equipment/tools;22
25;224;Manufacture of machinery ;22
26;97;Maritime;22
27;271;Aluminium and steel workboats ;26
28;269;Boat/Yacht building;26
29;230;Ship repair and conversion;26
30;93;Metal structures;22
31;508;Other;22
32;227;Repair and maintenance service;22
33;11;Metalworking;1
34;67;Construction of metal structures;33
35;263;Houses and buildings;33
36;267;Metal products;33
37;542;Metal works;33
38;75;CNC-machining;37
39;62;Forgings, Fasteners ;37
40;69;Gas, Plasma, Laser cutting;37
41;66;MIG, TIG, Aluminum welding;37
42;9;Plastic and Rubber;1
43;54;Packaging;42
44;556;Plastic goods;42
45;559;Plastic processing technology;42
46;55;Blowing;45
47;57;Moulding;45
48;53;Plastics welding and processing;45
49;560;Plastic profiles;42
50;5;Printing ;1
51;148;Advertising;50
52;150;Book/Periodicals printing;50
53;145;Labelling and packaging printing;50
54;7;Textile and Clothing;1
55;44;Clothing;54
56;45;Textile;54
57;8;Wood;1
58;337;Other (Wood);57
59;51;Wooden building materials;57
60;47;Wooden houses;57
61;3;Other;NULL
62;37;Creative industries;61
63;29;Energy technology;61
64;33;Environment;61
65;2;Service;NULL
66;25;Business services;65
67;35;Engineering;65
68;28;Information Technology and Telecommunications;65
69;581;Data processing, Web portals, E-marketing;68
70;576;Programming, Consultancy;68
71;121;Software, Hardware;68
72;122;Telecommunications;68
73;22;Tourism;65
74;141;Translation services;65
75;21;Transport and Logistics;65
76;111;Air;75
77;114;Rail;75
78;112;Road;75
79;113;Water;75
